rank,stadium,capacity,city,country,region,tenants,sports,image,location
488,Şenol Güneş Sports Complex,40782,Trabzon,Turkey,Western Asia,Trabzonspor,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.037456, 37.356913]"
489,Kashima Soccer Stadium,40728,Kashima,Japan,East Asia,Kashima Antlers,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.992670845, 140.63613895]"
490,Valley Children's Stadium,40727,"Fresno, California",United States,North America,Fresno State Bulldogs football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.882974, -119.801712]"
491,Estadio Campeón del Siglo,40700,Montevideo,Uruguay,South America,Club Atlético Peñarol,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-34.796464, -56.067361]"
492,Guaranteed Rate Field,40615,Chicago,United States,North America,Chicago White Sox,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.883229, -87.632398]"
493,Taipei Dome,40575,"Taipei, Taiwan",Taiwan,East Asia,TBD,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[25.031052, 121.4628856]"
494,Vanderbilt Stadium,40550,"Nashville, Tennessee",United States,North America,Vanderbilt Commodores football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.1435707, -86.8095593]"
495,Baotou Olympic Sports Centre Stadium,40545,Baotou,China,East Asia,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[40.6516, 109.84389]"
496,Baba Yara Stadium,40528,Kumasi,Ghana,Africa,"Asante Kotoko, King Faisal Babes",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[6.6840253, -1.6059949]"
497,Estádio Couto Pereira,40502,Curitiba,Brazil,South America,Coritiba Foot Ball Club,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-25.42088, -49.259405]"
498,Estadi Cornellà-El Prat,40500,Barcelona,Spain,Europe,RCD Espanyol,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.838654, -8.0322513]"
499,Nagoya Dome,40500,Nagoya,Japan,East Asia,Chunichi Dragons,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.18142047, 136.90668338]"
500,Stamford Bridge,40343,London,United Kingdom,Europe,Chelsea F.C.,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[53.991125955, -0.913725118]"
501,Estadio Ciudad de Lanús – Néstor Díaz Pérez,40320,Lanús,Argentina,South America,Club Atlético Lanús,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-34.7177043, -58.3838062]"
502,Estadio Metropolitano de Cabudare,40312,Cabudare,Venezuela,South America,Unión Lara,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[9.993814, -69.220325]"
503,Globe Life Field,40300,Arlington,United States,North America,Texas Rangers,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[32.7474114, -97.0841664]"
504,Lukas Enembe Stadium,40263,Jayapura,Indonesia,Southeast Asia,,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-7.13111, 110.66972]"
505,Mỹ Đình National Stadium,40192,Hanoi,Vietnam,Southeast Asia,"Vietnam national football team, Viettel FC",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[10.00268, 105.96131]"
506,Miloud Hadefi Stadium,40143,Oran,Algeria,Africa,"MC Oran, Algeria national football team",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.69906, -0.63588]"
507,Estadio George Capwell,40024,Guayaquil,Ecuador,South America,Club Sport Emelec,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-2.2064962, -79.89368]"
508,OSC Metalist,40003,Kharkiv,Ukraine,Europe,"Metalist 1925 Kharkiv, Shakhtar Donetsk",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[47.820971, 38.294637]"
509,Jawaharlal Nehru Stadium,40000,Kochi,India,South Asia,"Kerala Blasters FC, India national football team",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[9.9576168, 76.2511512]"
510,"Jawaharlal Nehru Stadium, Chennai",40000,Chennai,India,South Asia,"India national football team, Chennaiyin FC, Indian Bank Recreational Club",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[13.0855423, 80.2707296]"
511,Ladd–Peebles Stadium,40000,"Mobile, Alabama",United States,North America,South Alabama Jaguars football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[30.6727294, -88.0756225]"
512,Batakan Stadium,40000,Balikpapan,Indonesia,Southeast Asia,Persiba Balikpapan,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-4.097365, 114.705492]"
513,TDECU Stadium,40000,Houston,United States,North America,"Houston Cougars football, Houston Roughnecks",American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[29.7222174, -95.3484133]"
514,Hang Jebat Stadium,40000,Malacca,Malaysia,Southeast Asia,"Melaka F.C.,",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[2.2889477, 102.2321589]"
515,Resonac Dome Oita,40000,Ōita,Japan,East Asia,Oita Trinita,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.67490263, 139.87798019]"
516,Sultan Ibrahim Stadium,40000,Johor,Malaysia,Southeast Asia,Johor Darul Ta'zim FC,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[1.4818788, 103.6202151]"
517,People's Football Stadium,40000,Karachi,Pakistan,South Asia,Pakistan national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[30.314282999, 70.210103639]"
518,Castelão,40000,São Luís,Brazil,South America,"Moto Club, Sampaio Corrêa",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-2.529451, -44.296947]"
519,Hong Kong Stadium,40000,Hong Kong,China,East Asia,"Hong Kong national football team, South China AA","Association football, Rugby union",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[22.3096581, 114.2245371]"
520,JRD Tata Sports Complex,40000,Jamshedpur,India,South Asia,local football teams,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[22.805027, 86.193763]"
521,28 March Stadium,40000,Benghazi,Libya,Africa,"Al-Ahly Benghazi, Al-Nasr Benghazi, Al Tahaddy Benghazi, Libya national football team",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[32.1018, 20.07259]"
522,Penang State Stadium,40000,Batu Kawan,Malaysia,Southeast Asia,Penang FA,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[5.37677, 100.25848]"
523,Accra Sports Stadium,40000,Accra,Ghana,Africa,"Accra Hearts of Oak, Accra Great Olympics",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[5.5511136, -0.1938414]"
524,Pratt & Whitney Stadium,40000,"East Hartford, Connecticut",United States,North America,UConn Huskies football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.75962, -72.6188078]"
525,Sarawak Stadium,40000,Kuching,Malaysia,Southeast Asia,Sarawak FA,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[1.5876195, 110.3602481]"
526,Stade d'Angondjé,40000,Angondjé,Gabon,Africa,Gabon national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[0.5044068, 9.4049454]"
527,Bogyoke Aung San Stadium,40000,Yangon,Myanmar,Southeast Asia,local football teams,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[16.9585498237, 96.0711547022]"
528,Vidarbha Cricket Association Ground,40000,Nagpur,India,South Asia,Vidarbha cricket team,Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[21.13676, 79.07893]"
529,Suita City Football Stadium,40000,Suita,Japan,East Asia,Gamba Osaka,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[34.75943982, 135.51685335]"
530,Peace Stadium,40000,Bouake,Ivory Coast,Africa,"Bouaké FC, ASC Bouaké, Alliance Bouaké",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[5.3520122, -3.9950211]"
531,Wuhu Olympic Stadium,40000,"Wuhu, Anhui",China,East Asia,local football teams,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[31.33728, 118.37351]"
532,Hauptstadion,40000,Aachen,Germany,Europe,Aachen-Laurensberger Rennverein ,equestrian and show jumping,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[50.00429, 8.8129]"
533,Xining Stadium,40000,Xining,China,East Asia,local football teams,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.62554, 101.75739]"
534,Shaoxing China Textile City Sports Center,40000,Shaoxing,China,East Asia,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[30.00237, 120.57864]"
535,Anqing Sports Centre Stadium,40000,Anqing,China,East Asia,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[30.51365, 117.04723]"
536,Monumental Stadium of Caracas Simón Bolívar,40000,Caracas,Venezuela,South America,Leones del Caracas,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[9.9876728862, -64.6545193205]"
537,Kardinia Park,40000,Geelong,Australia,Oceania,"Geelong Cats, Melbourne Renegades","Cricket, Australian rules football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-38.15903, 144.35507]"
